,ECA2_0019_01.a_p1,ECA2_0019_02.a_p1,ECA2_0019_04.a_p1,ECA2_0019_05.a_p1,ECA2_0019_07.a_p1,ECA2_0019_08.a_p1,ECA2_0019_09.a_p1,ECA2_0019_10.a_p1
417.067450615392,1,0,1,1,1,1,1,1
417.082729755436,1,0,1,1,0,0,1,0
417.119104387758,1,1,0,1,0,0,0,0
417.153240331746,1,0,0,0,0,0,1,0
417.155477299405,1,0,0,0,0,0,0,0
417.199108069681,1,1,1,1,1,1,1,1
417.238801039442,0,0,0,0,0,1,0,0
418.955893650959,0,0,0,0,0,0,1,0
419.02564989881,1,1,1,1,1,1,1,0
419.062000617374,1,1,1,1,0,1,1,1
419.098346584978,1,1,1,1,1,1,1,1
419.107438967696,0,0,1,0,0,0,0,0
419.134769001433,1,1,1,1,1,1,1,0
419.171121992706,1,1,1,0,0,1,0,0
419.232511938779,0,0,0,0,0,1,0,0
419.243894987392,0,0,0,0,0,1,0,0
419.329714064048,0,1,0,0,0,0,0,0
420.202799063121,1,0,0,0,0,0,0,0
420.950809626186,0,0,1,0,0,0,1,0
421.041250402563,1,1,1,1,1,1,1,1
421.077587970374,1,0,1,1,1,1,1,1
421.114012814373,1,1,1,1,1,1,1,1
423.020523971512,0,0,1,1,0,0,1,0
423.056912426131,1,1,1,1,1,1,1,1
423.093256520067,1,1,1,1,1,1,1,1
423.187199434546,0,0,0,0,0,0,0,1
425.036186438407,1,0,1,1,1,1,1,0
425.072566890514,1,0,1,1,1,0,1,1
425.08562879894,1,1,0,0,0,0,0,0
425.112303577038,0,0,0,0,0,1,0,0
425.133190039513,0,0,0,0,0,0,1,0
425.137290031914,0,0,0,0,0,0,1,0
425.173664486624,1,0,0,0,0,1,0,0
425.219120244244,0,1,0,0,0,0,0,0
426.198408021466,0,0,1,0,0,0,0,0
427.03069297629,0,0,0,0,0,1,0,0
427.051827179376,1,1,1,1,1,1,1,1
427.088210321811,1,1,1,1,1,1,1,1
