,ECA2_0023_01.a_p1,ECA2_0023_02.a_p1,ECA2_0023_03.a_p1,ECA2_0023_05.a_p1,ECA2_0023_08.a_p1,ECA2_0023_09.a_p1,ECA2_0023_10.a_p15
438.216242034727,0,0,0,0,1,0,0
439.023714465452,0,0,0,0,0,0,1
439.088161062818,0,1,0,0,1,1,0
439.150502783006,0,0,0,1,0,0,0
439.165023831608,0,0,0,1,0,0,0
439.273476009983,0,1,1,0,1,1,0
440.068395113544,0,0,1,1,0,0,0
440.119827379301,0,0,0,0,1,0,0
441.067445217603,0,0,0,0,0,1,0
441.083582920547,0,0,0,1,0,0,1
441.08602507994,0,0,1,0,0,0,0
441.101538331369,1,1,0,1,1,0,1
441.128044415927,1,0,0,0,1,1,1
441.132181024161,0,1,1,0,1,1,0
441.166094118396,0,0,0,1,0,0,0
441.168546108283,1,1,1,1,1,1,0
441.204968766383,0,0,1,0,0,1,0
443.004854242163,0,0,0,0,0,0,1
443.045232902366,0,0,1,1,0,0,0
443.06197252065,0,0,0,0,0,1,0
443.08312105635,0,1,0,0,0,1,0
443.098414050448,0,1,0,0,1,1,1
443.143664748598,0,0,0,0,1,0,0
443.251099249321,0,1,0,0,0,1,0
444.209932863225,0,1,0,0,0,1,0
444.950792882135,0,0,0,0,0,1,0
444.988227358365,0,0,0,0,0,1,0
445.008222726571,0,0,0,0,0,0,1
445.063298729141,0,0,1,0,0,0,0
445.077648929997,0,1,0,0,0,1,0
445.090703609108,0,1,0,0,0,1,0
445.114028424843,0,0,0,0,1,1,0
445.121251536336,1,0,0,0,0,0,0
445.131955893661,0,0,1,0,0,0,0
445.148151570789,1,1,0,1,1,1,0
445.190005832434,0,0,0,1,0,0,0
445.193953878212,0,0,1,0,1,1,0
445.230368100921,0,1,0,0,0,1,0
445.381765150841,0,0,0,0,0,1,0
446.102835428456,1,1,1,0,0,0,1
446.231462353115,0,0,0,0,1,0,0
447.005048856721,0,0,0,0,0,0,1
447.05691596879,0,0,0,0,1,1,0
447.09324777296,0,1,0,1,1,1,0
447.129676968486,1,1,0,1,1,1,0
447.202454273815,0,0,0,0,0,1,0
449.004662161413,0,0,0,0,0,0,1
449.072543871549,0,1,0,0,1,1,0
449.108959458991,0,1,0,1,1,1,0
449.148421976009,0,0,1,0,0,0,0
449.166658480779,0,0,1,0,0,0,0
449.172020413335,1,0,0,0,0,0,0
449.340251050349,0,0,0,1,0,0,0
451.088224866763,0,1,0,0,1,1,0
451.119486050038,0,0,0,0,0,0,1
451.124612374534,1,1,1,1,1,1,0
451.164157763741,0,0,1,0,0,0,0
451.189282729289,0,0,1,0,0,0,0
452.944870234084,0,0,0,0,0,0,1
452.973787183085,0,0,0,0,0,0,1
453.067431269955,0,0,0,0,0,1,0
453.103879493075,1,1,0,1,1,1,0
453.135090176126,0,0,0,0,1,0,0
453.168610789958,0,0,1,0,0,0,0
455.083066172065,0,1,0,0,1,1,0
455.117150800095,0,0,0,0,1,0,0
455.144164028048,0,0,0,0,0,0,1
455.145370292843,0,0,1,0,0,0,0
455.147865874753,1,1,0,0,1,1,0
456.014321897216,0,0,0,0,0,0,1
456.260479516256,0,0,0,1,0,0,0
456.95950498231,0,0,0,0,0,1,0
457.098763730391,0,0,0,0,1,1,0
457.159333487824,0,1,0,0,0,1,0
458.225568277273,0,1,0,0,0,1,0
458.957571648701,0,0,1,0,0,1,0
459.093298769617,0,0,0,0,1,0,0
459.102601899248,0,0,0,1,0,0,0
